epoch,epsilon,time,reward
319,0.36450000000000005,1701683058.6841211,-50.42335823218175
320,0.36450000000000005,1701683059.3669975,-50.14138149704325
321,0.36450000000000005,1701683060.2088187,-52.66399081854963
322,0.36450000000000005,1701683060.9455366,-51.86514161220043
323,0.36450000000000005,1701683061.618744,-53.12726112667285
324,0.36450000000000005,1701683062.291769,-51.377130796763154
325,0.36450000000000005,1701683063.03743,-51.50816293183936
326,0.36450000000000005,1701683063.7780776,-49.40808706816061
327,0.36450000000000005,1701683064.453881,-49.83056372549019
328,0.36450000000000005,1701683065.124054,-52.51691837846249
329,0.36450000000000005,1701683065.7807803,-50.36425925925926
330,0.36450000000000005,1701683066.4495437,-51.68409080298785
331,0.36450000000000005,1701683067.0875175,-54.498314270152484
332,0.36450000000000005,1701683067.7366867,-51.7827657173981
333,0.36450000000000005,1701683068.4374511,-51.47725140056022
334,0.36450000000000005,1701683069.1488383,-48.881460862122665
335,0.36450000000000005,1701683069.954735,-50.35956115779643
336,0.36450000000000005,1701683070.662993,-49.82220160286338
337,0.36450000000000005,1701683071.4131205,-52.12888460939931
338,0.36450000000000005,1701683072.13334,-51.05736733582322
339,0.36450000000000005,1701683072.8264518,-53.31441098661688
340,0.36450000000000005,1701683073.480203,-51.55335628695925
341,0.36450000000000005,1701683074.1742675,-49.97916549953314
342,0.36450000000000005,1701683074.8857124,-52.02729808590102
343,0.36450000000000005,1701683075.6860135,-57.3898039215686
344,0.36450000000000005,1701683076.3978362,-54.518015483971304
345,0.36450000000000005,1701683077.0719733,-51.429303610332994
346,0.36450000000000005,1701683077.7692053,-49.81830143168382
347,0.36450000000000005,1701683078.6066139,-49.96703664799257
348,0.36450000000000005,1701683079.372106,-51.420530656707186
349,0.36450000000000005,1701683080.0930464,-52.54539643635238
350,0.36450000000000005,1701683080.831421,-51.4591802832244
351,0.36450000000000005,1701683081.5172098,-51.0427622159975
352,0.36450000000000005,1701683082.7333732,-50.322547852474344
353,0.36450000000000005,1701683083.6728985,-50.12784663865551
354,0.36450000000000005,1701683084.4195476,-50.37900210084032
355,0.36450000000000005,1701683085.1439042,-51.78149004046068
356,0.36450000000000005,1701683085.8406622,-50.9783290538438
357,0.36450000000000005,1701683086.494492,-52.16618502956736
358,0.36450000000000005,1701683087.2347455,-51.00978135698722
359,0.36450000000000005,1701683087.9071999,-49.607408185496375
360,0.36450000000000005,1701683088.5734918,-55.11164488017428
